id_target_a,direction_a,id_pair_a,n
1,LEFT,1,57
1,LEFT,4,57
1,RIGHT,2,57
1,RIGHT,4,57
10,LEFT,0,57
10,LEFT,4,57
10,RIGHT,1,57
10,RIGHT,2,57
10,RIGHT,3,57
11,LEFT,3,57
11,LEFT,4,57
11,RIGHT,1,57
11,RIGHT,2,57
12,LEFT,1,57
12,RIGHT,1,57
12,RIGHT,2,57
13,LEFT,2,57
16,RIGHT,2,57
16,RIGHT,3,57
17,LEFT,3,57
17,RIGHT,3,57
17,RIGHT,4,57
18,LEFT,2,57
18,LEFT,3,57
18,RIGHT,1,57
18,RIGHT,2,57
18,RIGHT,3,57
18,RIGHT,4,57
19,LEFT,1,57
19,LEFT,2,57
19,RIGHT,0,57
19,RIGHT,2,57
2,LEFT,0,57
2,RIGHT,1,57
3,LEFT,0,57
3,LEFT,1,57
3,LEFT,3,57
3,RIGHT,3,57
4,LEFT,4,57
4,RIGHT,1,57
5,LEFT,1,57
5,RIGHT,0,57
6,LEFT,0,57
6,LEFT,2,57
6,LEFT,3,57
6,RIGHT,0,57
6,RIGHT,2,57
7,LEFT,0,57
7,LEFT,1,57
7,LEFT,2,57
7,RIGHT,0,57
7,RIGHT,4,57
8,LEFT,1,57
8,LEFT,4,57
8,RIGHT,2,57
8,RIGHT,3,57
8,RIGHT,4,57
9,RIGHT,0,57
